STATION,STATION ID,IMPERIAL,METRIC
"DAVIS 3 SE, WV US",GHCND:USC00462211,0,0
"DEDHAM 5.7 ESE, ME US",GHCND:US1MEHN0067,0,0
"DEDHAM, ME US",GHCND:USC00171867,0,0
"DELHI 2 SE, NY US",GHCND:USC00302036,0,0
"DELHI 6.6 WNW, NY US",GHCND:US1NYDL0032,0,0
"DELMAR 0.3 ESE, MD US",GHCND:US1MDWC0026,0,0
"DELMAR 4.3 E, DE US",GHCND:US1DESS0003,0,0
"DELTAVILLE 1.0 NE, VA US",GHCND:US1VAMX0009,0,0
"DEWITTVILLE 1.0 SSE, NY US",GHCND:US1NYCQ0042,0,0
"DIGHTON 1.1 WSW, MA US",GHCND:US1MABR0008,0,0
"DILLON 3.8 NW, SC US",GHCND:US1SCDL0004,0,0
"DISPUTANTA 6.3 NE, VA US",GHCND:US1VAPC0005,0,0
"DONEGAL 2 NW, PA US",GHCND:USC00362183,0,0
"DOVER 2.5 N, NH US",GHCND:US1NHST0014,0,0
"DOVER 4.6 WNW, OH US",GHCND:US1OHTS0001,0,0
"DOVER FOXCROFT WWTP, ME US",GHCND:USC00171975,0,0
"DRESDEN 1.5 NW, ME US",GHCND:US1MELN0004,0,0
"DRUMMOND CENTRE, CA",GHCND:CA006102J13,0,0
"DUCK 0.7 SSE, NC US",GHCND:US1NCDR0081,0,0
"DUNKIRK, NY US",GHCND:USC00302197,0,0
"DURHAM 1.2 NW, NC US",GHCND:US1NCDH0006,0,0
"DURHAM 1.2 W, CT US",GHCND:US1CTMD0024,0,0
"DURHAM 2.3 SW, NC US",GHCND:US1NCDH0068,0,0
"DURHAM 2.6 S, NC US",GHCND:US1NCDH0064,0,0
"DURHAM 3.5 SSW, NC US",GHCND:US1NCDH0082,0,0
"DURHAM 4.4 NNW, NC US",GHCND:US1NCDH0024,0,0
"DURHAM 4.5 E, NC US",GHCND:US1NCDH0049,0,0
"DURHAM 4.5 SW, NC US",GHCND:US1NCDH0047,0,0
"DURHAM 4.6 WNW, NC US",GHCND:US1NCDH0078,0,0
"DURHAM 5.2 NW, NC US",GHCND:US1NCDH0034,0,0
"DURHAM 5.8 NW, NC US",GHCND:US1NCDH0026,0,0
"DURHAM 6.8 NNW, NC US",GHCND:US1NCDH0022,0,0
"DURHAM 7.2 WNW, NC US",GHCND:US1NCOR0039,0,0
"DURHAM 7.5 NNE, NC US",GHCND:US1NCDH0062,0,0
"DURHAM 7.8 NW, NC US",GHCND:US1NCOR0069,0,0
"DURHAM 8.0 NNE, NC US",GHCND:US1NCDH0066,0,0
"DURHAM 8.3 ESE, NC US",GHCND:US1NCDH0077,0,0
"DURHAM, ME US",GHCND:USC00172048,0,0
"DUTTON 7.1 NE AGRIS, CA",GHCND:CA1ON000481,0,0
"EAST AMHERST 1.2 WNW, NY US",GHCND:US1NYER0054,0,0
"EAST BRIDGEWATER 0.3 WSW, MA US",GHCND:US1MAPL0022,0,0
"EAST BRIMFIELD LAKE, MA US",GHCND:USC00192107,0,0
"EAST GREENWICH 2.3 ESE, RI US",GHCND:US1RIKN0002,0,0
"EAST GREENWICH 2.8 NE, RI US",GHCND:US1RIKN0045,0,0
"EAST HARTFORD 1.3 E, CT US",GHCND:US1CTHR0022,0,0
"EAST HAVEN, VT US",GHCND:USC00432314,0,0
"EAST KILLINGLY 1.3 SW, CT US",GHCND:US1CTWN0004,0,0
"EAST LYME 0.5 SW, CT US",GHCND:US1CTNL0029,0,0
"EAST MILFORD, NH US",GHCND:USC00272302,0,0
"EAST SANDWICH, MA US",GHCND:USC00192372,0,0
"EAST SANDWICH, NH US",GHCND:USC00272303,0,0
"EAST STROUDSBURG, PA US",GHCND:USC00368596,0,0
"EAST SURRY, ME US",GHCND:USC00172443,0,0
"EAST SURRY, ME US",GHCND:US1MEHN0002,0,0
"EASTHAM 0.9 SW, MA US",GHCND:US1MABA0069,0,0
"EASTHAMPTON 1.0 E, MA US",GHCND:US1MAHS0048,0,0
"EASTPORT 1.4 ESE, ME US",GHCND:US1MEWS0031,0,0
"EASTVILLE 5.0 NNW, VA US",GHCND:US1VANH0003,0,0
"EATONTOWN 1.2 NE, NJ US",GHCND:US1NJMN0010,0,0
"EDEN, NC US",GHCND:USC00312631,0,0
"EDENTON 0.5 NE, NC US",GHCND:US1NCCW0057,0,0
"EDENTON 13.3 NNW, NC US",GHCND:US1NCCW0028,0,0
"EDENTON 4.3 SE, NC US",GHCND:US1NCCW0020,0,0
"EDGARTOWN 1.3 WNW, MA US",GHCND:US1MADK0022,0,0
"EDGARTOWN, MA US",GHCND:USC00192501,0,0
"EDWARD MACDOWELL LAKE, NH US",GHCND:USC00275013,0,0
"EGG HARBOR TWP 1.3 NW, NJ US",GHCND:US1NJAT0013,0,0
"ELGIN 4.0 SW, SC US",GHCND:US1SCRC0140,0,0
"ELIZABETH CITY 0.8 NW, NC US",GHCND:US1NCPS0030,0,0
"ELIZABETH CITY 1.8 SE, NC US",GHCND:US1NCPS0029,0,0
"ELIZABETH CITY 2.6 W, NC US",GHCND:US1NCPS0001,0,0
"ELIZABETH CITY 3.5 NNW, NC US",GHCND:US1NCPS0022,0,0
"ELIZABETH CITY 5.1 SSE, NC US",GHCND:US1NCPS0027,0,0
